BHK,TYPE,AREA,C_STATUS,SQ_FT,CITY,PRICE
2,Apartment,Bopal,Ready to move,1215,Ahmedabad,4279
2,Apartment,Chandkheda,Ready to move,1125,Ahmedabad,2755
3,Apartment,Chandkheda,Ready to move,1875,Ahmedabad,2933
2,Apartment,Near Nirma University On SG Highway,Under Construction,950,Ahmedabad,4736
2,Apartment,Sughad,Ready to move,1026,Ahmedabad,2436
3,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,4634
3,Villa,Bopal,Ready to move,1566,Ahmedabad,5619
5,Villa,Bopal,Ready to move,3600,Ahmedabad,9861
3,Apartment,South Bopal,Ready to move,1413,Ahmedabad,3680
2,Apartment,Jodhpur,Ready to move,954,Ahmedabad,5136
2,Apartment,Ghuma,Ready to move,1170,Ahmedabad,3931
2,Apartment,Shela,Ready to move,1170,Ahmedabad,4059
2,Apartment,Bopal,Ready to move,1130,Ahmedabad,4345
3,Apartment,North Bopal Road,Ready to move,1305,Ahmedabad,4444
2,Apartment,Ghuma,Ready to move,1170,Ahmedabad,3931
2,Apartment,Shela,Ready to move,1170,Ahmedabad,4059
3,Apartment,Shela,Ready to move,1435,Ahmedabad,4151
3,Apartment,Shela,Ready to move,1436,Ahmedabad,4178
3,Apartment,Bopal,Ready to move,1485,Ahmedabad,3434
2,Apartment,Bopal,Ready to move,1260,Ahmedabad,3300
3,Apartment,South Bopal,Ready to move,1450,Ahmedabad,3931
3,Apartment,South Bopal,Ready to move,1435,Ahmedabad,3832
3,Apartment,Bodakdev,Ready to move,1350,Ahmedabad,4740
2,Villa,Bopal,Ready to move,1845,Ahmedabad,5962
2,Independent House,Bopal,Ready to move,2070,Ahmedabad,7729
4,Apartment,Shela,Under Construction,3120,Ahmedabad,3300
3,Independent House,Chandkheda,Ready to move,1520,Ahmedabad,5921
3,Apartment,Gota,Ready to move,975,Ahmedabad,6769
3,Apartment,Gota,Under Construction,2700,Ahmedabad,2741
2,Apartment,Chandkheda,Ready to move,1700,Ahmedabad,2117
2,Apartment,Khodiyar,Ready to move,1060,Ahmedabad,4528
3,Apartment,Gota,Ready to move,1530,Ahmedabad,4248
4,Villa,Gota,Ready to move,2000,Ahmedabad,8750
2,Apartment,Gota,Ready to move,1170,Ahmedabad,3931
4,Villa,Gota,Ready to move,2000,Ahmedabad,8750
3,Apartment,Bopal,Ready to move,1330,Ahmedabad,4210
3,Apartment,Motera,Ready to move,2100,Ahmedabad,4285
3,Apartment,South Bopal,Ready to move,1435,Ahmedabad,5644
4,Villa,Gandhi Nagar,Ready to move,1800,Ahmedabad,7777
5,Apartment,Bodakdev,Ready to move,6935,Ahmedabad,8997
3,Villa,BopalGhuma Road,Ready to move,1620,Ahmedabad,4567
3,Apartment,Chandkheda,Ready to move,2484,Ahmedabad,4025
3,Apartment,Prahlad Nagar,Ready to move,1700,Ahmedabad,5058
2,Apartment,Odhav,Ready to move,1206,Ahmedabad,2653
4,Villa,Sola,Ready to move,2700,Ahmedabad,6481
3,Apartment,Sola,Ready to move,1350,Ahmedabad,5185
3,Apartment,Science City,Ready to move,2034,Ahmedabad,6194
2,Apartment,Bopal,Ready to move,1110,Ahmedabad,4414
4,Villa,Bopal,Ready to move,1296,Ahmedabad,7716
3,Apartment,Bopal,Ready to move,1375,Ahmedabad,4727
4,Apartment,Ambavadi,Under Construction,3366,Ahmedabad,6684
2,Apartment,Satellite,Ready to move,1100,Ahmedabad,5909
1,Studio Apartment,Changodar,Ready to move,416,Ahmedabad,1802
1,Apartment,Near Vaishno Devi Circle On SG Highway,Under Construction,650,Ahmedabad,4307
2,Apartment,Near Nirma University On SG Highway,Ready to move,1100,Ahmedabad,3545
3,Apartment,Hathijan,Under Construction,1512,Ahmedabad,1500
3,Apartment,Hathijan,Under Construction,1422,Ahmedabad,1500
2,Apartment,Hathijan,Under Construction,1125,Ahmedabad,1500
3,Independent House,Ghuma,Ready to move,1530,Ahmedabad,4901
5,Apartment,Bodakdev,Ready to move,7700,Ahmedabad,9740
3,Apartment,Bopal,Under Construction,1825,Ahmedabad,4487
2,Apartment,Bopal,Ready to move,2285,Ahmedabad,9628
3,Villa,Shela,Ready to move,2160,Ahmedabad,5092
1,Apartment,Bopal,Ready to move,1215,Ahmedabad,3703
2,Apartment,Near Nirma University On SG Highway,Under Construction,811,Ahmedabad,5302
4,Apartment,Shela,Under Construction,2620,Ahmedabad,3300
3,Apartment,Bopal,Ready to move,1549,Ahmedabad,5164
3,Apartment,Bopal,Ready to move,2313,Ahmedabad,2810
3,Apartment,Bopal,Ready to move,1620,Ahmedabad,4444
3,Apartment,Bopal,Ready to move,1890,Ahmedabad,3703
3,Villa,Bopal,Ready to move,1851,Ahmedabad,7023
3,Apartment,Bopal,Ready to move,2240,Ahmedabad,4464
3,Apartment,Prahlad Nagar,Ready to move,1845,Ahmedabad,5420
3,Apartment,Bopal,Ready to move,1435,Ahmedabad,4459
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,4734,Ahmedabad,3802
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3550,Ahmedabad,4225
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,2280,Ahmedabad,3903
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1850,Ahmedabad,3729
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1815,Ahmedabad,3636
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,818,Ahmedabad,3911
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1850,Ahmedabad,3754
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1815,Ahmedabad,3774
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1850,Ahmedabad,3756
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1850,Ahmedabad,3810
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3640,Ahmedabad,3791
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3220,Ahmedabad,4968
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3550,Ahmedabad,4000
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,2142,Ahmedabad,6909
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1850,Ahmedabad,3837
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1080,Ahmedabad,4027
4,Apartment,Ambli,Ready to move,2759,Ahmedabad,6161
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1081,Ahmedabad,4024
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3640,Ahmedabad,3901
3,Apartment,Shela,Ready to move,1590,Ahmedabad,3295
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,2510,Ahmedabad,3745
4,Villa,Bopal,Under Construction,2340,Ahmedabad,7777
4,Apartment,Ambli,Ready to move,2756,Ahmedabad,6168
5,Villa,Near Vaishno Devi Circle On SG Highway,Ready to move,5400,Ahmedabad,6518
3,Apartment,Gota,Ready to move,1728,Ahmedabad,3819
3,Apartment,Shilaj,Ready to move,1854,Ahmedabad,3775
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,2510,Ahmedabad,3904
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3220,Ahmedabad,4161
2,Apartment,Near Nirma University On SG Highway,Ready to move,2325,Ahmedabad,2279
2,Apartment,Near Nirma University On SG Highway,Ready to move,1325,Ahmedabad,4000
4,Villa,Near Vaishno Devi Circle On SG Highway,Ready to move,5580,Ahmedabad,6989
4,Villa,Near Vaishno Devi Circle On SG Highway,Ready to move,5880,Ahmedabad,6632
2,Apartment,Near Nirma University On SG Highway,Ready to move,1425,Ahmedabad,3789
4,Villa,Bopal,Under Construction,2250,Ahmedabad,8088
3,Apartment,Gota,Ready to move,1728,Ahmedabad,4224
2,Apartment,Near Nirma University On SG Highway,Ready to move,1325,Ahmedabad,4000
2,Apartment,Gota,Ready to move,1179,Ahmedabad,3901
4,Villa,Bopal,Under Construction,1763,Ahmedabad,10323
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,4734,Ahmedabad,3802
3,Apartment,Shela,Under Construction,1435,Ahmedabad,3205
4,Apartment,Ambavadi,Ready to move,4014,Ahmedabad,8594
4,Independent House,South Bopal Main Road,Ready to move,2720,Ahmedabad,8272
4,Independent House,South Bopal Main Road,Ready to move,2160,Ahmedabad,6481
3,Villa,Bopal Road,Ready to move,1800,Ahmedabad,4722
3,Villa,South Bopal Main Road,Ready to move,1800,Ahmedabad,4555
4,Villa,Bopal,Ready to move,4050,Ahmedabad,6049
3,Villa,Bopal,Ready to move,1800,Ahmedabad,7777
2,Apartment,Chandkheda,Ready to move,1000,Ahmedabad,3000
3,Apartment,Chandkheda,Ready to move,1886,Ahmedabad,5302
3,Apartment,Motera,Ready to move,2160,Ahmedabad,4398
4,Apartment,Near Nirma University On SG Highway,Ready to move,2211,Ahmedabad,4025
3,Apartment,Near Nirma University On SG Highway,Ready to move,1372,Ahmedabad,3498
3,Apartment,gota SG higway,Under Construction,1980,Ahmedabad,3838
3,Apartment,Vastrapur,Ready to move,1665,Ahmedabad,6006
3,Apartment,Makarba,Ready to move,1665,Ahmedabad,5405
3,Apartment,Prahlad Nagar,Ready to move,2115,Ahmedabad,6146
3,Apartment,Prahlad Nagar,Ready to move,2115,Ahmedabad,5910
3,Apartment,Near Nirma University On SG Highway,Ready to move,1770,Ahmedabad,4237
5,Villa,Rajpath Club Road,Ready to move,6750,Ahmedabad,11703
4,Penthouse,Thaltej,Ready to move,6350,Ahmedabad,8188
4,Villa,Bopal,Ready to move,3600,Ahmedabad,6944
4,Villa,Sharnam County,Ready to move,2790,Ahmedabad,8960
3,Independent House,Ghuma,Ready to move,1620,Ahmedabad,4012
3,Apartment,Near Nirma University On SG Highway,Ready to move,2280,Ahmedabad,3991
3,Apartment,Near Nirma University On SG Highway,Ready to move,1960,Ahmedabad,3469
3,Apartment,Near Nirma University On SG Highway,Ready to move,1850,Ahmedabad,4594
4,Apartment,Near Nirma University On SG Highway,Ready to move,3650,Ahmedabad,3780
1,Apartment,Ghatlodiya,Ready to move,860,Ahmedabad,3081
2,Apartment,Naryanpura,Ready to move,1100,Ahmedabad,5454
2,Apartment,Ghatlodiya,Ready to move,1300,Ahmedabad,3769
2,Apartment,Vasna,Ready to move,1130,Ahmedabad,4115
3,Apartment,New C G Road,Ready to move,1845,Ahmedabad,2981
2,Apartment,Gota,Ready to move,1206,Ahmedabad,3150
2,Apartment,New cg road,Ready to move,1260,Ahmedabad,3174
4,Villa,BopalGhuma Road,Ready to move,2350,Ahmedabad,3191
4,Independent House,South Bopal Main Road,Ready to move,2340,Ahmedabad,6196
3,Independent House,Bopal Road,Ready to move,2250,Ahmedabad,4444
4,Villa,BopalGhuma Road,Ready to move,1980,Ahmedabad,3282
4,Apartment,Jodhpur Village,Ready to move,3915,Ahmedabad,9195
2,Apartment,Gota,Ready to move,1143,Ahmedabad,3499
3,Apartment,Satellite,Ready to move,1575,Ahmedabad,6666
3,Apartment,Satellite,Ready to move,1755,Ahmedabad,5128
3,Apartment,Prahlad Nagar,Ready to move,2100,Ahmedabad,6190
3,Apartment,Satellite,Ready to move,1836,Ahmedabad,5991
3,Apartment,Satellite,Ready to move,1836,Ahmedabad,5991
3,Apartment,Satellite,Ready to move,2250,Ahmedabad,5777
3,Apartment,Satellite,Ready to move,1755,Ahmedabad,5128
2,Apartment,Satellite,Ready to move,1170,Ahmedabad,5982
3,Apartment,Satellite,Ready to move,1530,Ahmedabad,5228
3,Apartment,Satellite,Ready to move,1575,Ahmedabad,6666
3,Apartment,Prahlad Nagar,Ready to move,2100,Ahmedabad,6190
3,Apartment,Satellite,Ready to move,1755,Ahmedabad,5128
3,Apartment,Satellite,Ready to move,1755,Ahmedabad,5128
2,Apartment,Satellite,Ready to move,1170,Ahmedabad,5982
3,Apartment,Satellite,Ready to move,1530,Ahmedabad,5228
3,Apartment,Satellite,Ready to move,2250,Ahmedabad,5777
3,Apartment,Satellite,Ready to move,1650,Ahmedabad,5757
3,Apartment,Prahlad Nagar,Ready to move,2100,Ahmedabad,6190
3,Apartment,Prahlad Nagar,Ready to move,2100,Ahmedabad,6190
2,Apartment,Jodhpur Village,Ready to move,1125,Ahmedabad,6044
4,Apartment,Jodhpur Village,Ready to move,3915,Ahmedabad,10217
3,Apartment,Chandkheda,Ready to move,1935,Ahmedabad,3514
3,Apartment,Prahlad Nagar,Ready to move,2115,Ahmedabad,5910
3,Apartment,Chandkheda,Ready to move,2154,Ahmedabad,3017
3,Apartment,Vastrapur,Under Construction,2230,Ahmedabad,5350
4,Apartment,Vastrapur,Under Construction,3230,Ahmedabad,5350
4,Apartment,Vastrapur,Under Construction,2283,Ahmedabad,5350
3,Apartment,Chandkheda,Ready to move,1710,Ahmedabad,3859
4,Apartment,Prahlad Nagar,Ready to move,3600,Ahmedabad,7638
3,Apartment,Bopal,Under Construction,1725,Ahmedabad,3200
4,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,3220,Ahmedabad,4720
3,Apartment,Near Nirma University On SG Highway,Ready to move,1210,Ahmedabad,5826
3,Apartment,Satellite,Ready to move,1170,Ahmedabad,8974
3,Apartment,Jodhpur Village,Ready to move,1665,Ahmedabad,5705
2,Apartment,Jodhpur Village,Ready to move,1125,Ahmedabad,6133
3,Apartment,Jodhpur Village,Ready to move,1665,Ahmedabad,5705
3,Apartment,Prahlad Nagar,Ready to move,1675,Ahmedabad,5671
2,Apartment,Sughad,Ready to move,999,Ahmedabad,2902
2,Apartment,Vastrapur,Ready to move,1251,Ahmedabad,6394
3,Apartment,Prahlad Nagar,Ready to move,2010,Ahmedabad,5970
2,Apartment,Bopal,Under Construction,1185,Ahmedabad,4000
5,Villa,Thaltej,Ready to move,4275,Ahmedabad,16959
3,Apartment,Ambli,Under Construction,1850,Ahmedabad,4540
3,Villa,Ghuma,Ready to move,1620,Ahmedabad,4629
3,Villa,Bopal,Ready to move,1845,Ahmedabad,6233
3,Apartment,Bopal,Ready to move,2285,Ahmedabad,5733
4,Villa,Sanathal,Ready to move,2700,Ahmedabad,5740
5,Independent Floor,Shela,Ready to move,3540,Ahmedabad,5000
3,Apartment,Thaltej,Ready to move,1900,Ahmedabad,7105
3,Villa,Ghuma,Ready to move,2250,Ahmedabad,4222
2,Apartment,Bopal,Ready to move,1470,Ahmedabad,4625
2,Apartment,Ghuma,Ready to move,1200,Ahmedabad,3166
2,Apartment,Bopal,Ready to move,1113,Ahmedabad,4492
2,Apartment,Bopal,Ready to move,1080,Ahmedabad,3240
4,Apartment,Bopal,Ready to move,4315,Ahmedabad,4519
3,Independent House,Ghuma,Ready to move,2115,Ahmedabad,4255
3,Villa,Bopal,Ready to move,1890,Ahmedabad,6613
3,Apartment,Shela,Ready to move,1435,Ahmedabad,4250
2,Apartment,Ghuma,Ready to move,1044,Ahmedabad,3927
3,Apartment,Bopal,Ready to move,1416,Ahmedabad,4449
4,Villa,Shela,Ready to move,2115,Ahmedabad,5200
3,Villa,Bopal,Ready to move,1890,Ahmedabad,5820
2,Apartment,Shilaj,Ready to move,1035,Ahmedabad,3381
2,Apartment,Shela,Ready to move,1140,Ahmedabad,3947
2,Apartment,Bopal,Ready to move,1260,Ahmedabad,3968
3,Villa,Ghuma,Ready to move,1890,Ahmedabad,4126
3,Villa,Ghuma,Ready to move,2700,Ahmedabad,5555
3,Villa,Bopal,Ready to move,1845,Ahmedabad,6233
3,Villa,Ghuma,Ready to move,1665,Ahmedabad,4504
2,Apartment,Bopal,Ready to move,1170,Ahmedabad,3247
2,Apartment,Bopal,Ready to move,945,Ahmedabad,4021
3,Villa,Bopal,Ready to move,1935,Ahmedabad,5167
4,Villa,Bopal,Ready to move,1980,Ahmedabad,6313
4,Apartment,Bopal,Ready to move,2900,Ahmedabad,4513
3,Villa,Science City,Ready to move,2700,Ahmedabad,10925
3,Apartment,Shela,Ready to move,1590,Ahmedabad,4402
4,Villa,Ghuma,Ready to move,1890,Ahmedabad,3703
3,Independent House,Bopal,Ready to move,1935,Ahmedabad,5943
3,Apartment,Shela,Ready to move,1876,Ahmedabad,4637
3,Apartment,West End Park,Ready to move,955,Ahmedabad,5325
1,Villa,Dholera,Ready to move,1536,Ahmedabad,1496
3,Apartment,Jodhpur Village,Ready to move,2070,Ahmedabad,7246
1,Apartment,Near Nirma University On SG Highway,Ready to move,600,Ahmedabad,3500
3,Apartment,Prahlad Nagar,Ready to move,1575,Ahmedabad,6666
3,Apartment,Satellite,Ready to move,1836,Ahmedabad,5991
3,Apartment,Prahlad Nagar,Ready to move,1800,Ahmedabad,7500
3,Apartment,Prahlad Nagar,Ready to move,1935,Ahmedabad,6459
3,Apartment,Prahlad Nagar,Ready to move,1575,Ahmedabad,6666
2,Apartment,Satellite,Ready to move,1170,Ahmedabad,8974
3,Apartment,Prahlad Nagar,Ready to move,1935,Ahmedabad,6459
3,Apartment,Satellite,Ready to move,1530,Ahmedabad,5555
3,Apartment,Prahlad Nagar,Ready to move,1800,Ahmedabad,6388
3,Apartment,Prahlad Nagar,Ready to move,1575,Ahmedabad,6666
3,Apartment,Jodhpur Village,Ready to move,1665,Ahmedabad,5705
2,Apartment,Jodhpur Village,Ready to move,1125,Ahmedabad,6133
3,Apartment,Makarba,Ready to move,1678,Ahmedabad,5065
3,Apartment,Prahlad Nagar,Ready to move,1575,Ahmedabad,6666
3,Apartment,Satellite,Ready to move,1836,Ahmedabad,5991
3,Apartment,Prahlad Nagar,Ready to move,1705,Ahmedabad,6158
2,Apartment,Makarba,Ready to move,1064,Ahmedabad,4229
2,Apartment,Makarba,Ready to move,1050,Ahmedabad,6190
4,Villa,Thaltej,Ready to move,6300,Ahmedabad,4285
4,Villa,Navrangpura,Ready to move,3465,Ahmedabad,12987
4,Villa,bhuyangdev Cross Road,Ready to move,2700,Ahmedabad,10370
3,Apartment,Vaishnodevi,Under Construction,1189,Ahmedabad,6560
4,Apartment,Thaltej,Ready to move,1675,Ahmedabad,9552
3,Apartment,Shilaj,Ready to move,890,Ahmedabad,7078
3,Apartment,South Bopal,Under Construction,870,Ahmedabad,5862
2,Apartment,Shilaj,Ready to move,711,Ahmedabad,5766
3,Apartment,Shilaj,Under Construction,764,Ahmedabad,6675
3,Apartment,Shilaj,Ready to move,810,Ahmedabad,6172
3,Apartment,South Bopal,Ready to move,1450,Ahmedabad,3586
4,Apartment,Ring Road West,Ready to move,2157,Ahmedabad,6258
4,Apartment,Ring Road West,Ready to move,1630,Ahmedabad,6748
2,Apartment,Ring Road West,Ready to move,1200,Ahmedabad,3666
3,Apartment,South Bopal,Ready to move,1222,Ahmedabad,5155
4,Apartment,Ambli,Ready to move,1765,Ahmedabad,9178
4,Apartment,Ambli,Ready to move,2716,Ahmedabad,5964
4,Apartment,Ambli,Ready to move,1808,Ahmedabad,9126
2,Apartment,Shilaj,Ready to move,875,Ahmedabad,4800
3,Apartment,South Bopal,Under Construction,870,Ahmedabad,5862
2,Apartment,Shilaj,Ready to move,711,Ahmedabad,5766
3,Apartment,Shilaj,Under Construction,764,Ahmedabad,6675
3,Apartment,Shilaj,Ready to move,810,Ahmedabad,6172
2,Apartment,Shilaj,Ready to move,686,Ahmedabad,6122
3,Apartment,South Bopal,Ready to move,1450,Ahmedabad,3586
4,Apartment,Ring Road West,Ready to move,2157,Ahmedabad,6258
4,Apartment,Ring Road West,Ready to move,1630,Ahmedabad,6748
2,Apartment,Ring Road West,Ready to move,1200,Ahmedabad,3666
3,Apartment,South Bopal,Ready to move,1222,Ahmedabad,5155
4,Apartment,Ambli,Ready to move,1765,Ahmedabad,9178
4,Apartment,Ambli,Ready to move,2716,Ahmedabad,5964
4,Apartment,Ambli,Ready to move,1808,Ahmedabad,9126
2,Apartment,Shilaj,Ready to move,875,Ahmedabad,4800
3,Apartment,South Bopal,Ready to move,965,Ahmedabad,4870
3,Apartment,Shilaj,Ready to move,877,Ahmedabad,5929
2,Apartment,Shilaj,Ready to move,770,Ahmedabad,5519
2,Apartment,Shilaj,Ready to move,835,Ahmedabad,5209
3,Apartment,South Bopal,Ready to move,1435,Ahmedabad,3623
2,Apartment,South Bopal,Ready to move,854,Ahmedabad,5152
3,Apartment,Shilaj,Ready to move,890,Ahmedabad,7078
3,Apartment,South Bopal,Under Construction,870,Ahmedabad,5862
2,Apartment,Shilaj,Ready to move,711,Ahmedabad,5766
3,Apartment,Shilaj,Under Construction,764,Ahmedabad,6675
3,Apartment,Shilaj,Ready to move,810,Ahmedabad,6172
2,Apartment,Makarba,Ready to move,990,Ahmedabad,3333
2,Apartment,Jodhpur Village,Ready to move,1053,Ahmedabad,5887
4,Villa,Motera,Ready to move,2000,Ahmedabad,6750
2,Apartment,Vejalpur,Ready to move,1485,Ahmedabad,4377
2,Apartment,Vejalpur,Ready to move,1260,Ahmedabad,4365
2,Apartment,Makarba,Ready to move,1070,Ahmedabad,5140
4,Apartment,Bodakdev,Ready to move,3825,Ahmedabad,7163
3,Apartment,Makarba,Ready to move,1665,Ahmedabad,5405
4,Apartment,Bodakdev,Ready to move,3825,Ahmedabad,7163
3,Apartment,Makarba,Ready to move,1665,Ahmedabad,5405
4,Apartment,Bodakdev,Ready to move,3825,Ahmedabad,7163
3,Apartment,Makarba,Ready to move,1665,Ahmedabad,5405
4,Apartment,Bodakdev,Ready to move,3825,Ahmedabad,7163
2,Apartment,Jodhpur Village,Ready to move,1100,Ahmedabad,6181
3,Apartment,Prahlad Nagar,Ready to move,2115,Ahmedabad,6146
2,Apartment,Satellite,Ready to move,1260,Ahmedabad,5952
3,Apartment,Near Nirma University On SG Highway,Under Construction,1362,Ahmedabad,4845
3,Independent House,BopalGhuma Road,Ready to move,2250,Ahmedabad,4222
3,Apartment,Prahlad Nagar,Ready to move,2010,Ahmedabad,5970
2,Apartment,Motera,Ready to move,1179,Ahmedabad,3816
3,Apartment,Prahlad Nagar,Ready to move,1705,Ahmedabad,5278
3,Apartment,Prahlad Nagar,Ready to move,1675,Ahmedabad,5671
3,Apartment,Prahlad Nagar,Ready to move,1675,Ahmedabad,5671
3,Apartment,Prahlad Nagar,Ready to move,1675,Ahmedabad,5671
3,Apartment,Satellite,Ready to move,2250,Ahmedabad,5777
2,Apartment,Vastrapur,Ready to move,1251,Ahmedabad,5995
2,Apartment,Vastrapur,Ready to move,1251,Ahmedabad,5995
3,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,4878
3,Apartment,Jodhpur Village,Ready to move,1999,Ahmedabad,6003
3,Apartment,Jodhpur Village,Ready to move,2610,Ahmedabad,7471
3,Apartment,Chandkheda,Ready to move,1800,Ahmedabad,2777
2,Apartment,Chandkheda,Ready to move,1155,Ahmedabad,3030
2,Apartment,Chandkheda,Ready to move,1122,Ahmedabad,2673
4,Villa,Chandkheda,Ready to move,2385,Ahmedabad,6289
3,Apartment,Chandkheda,Ready to move,2541,Ahmedabad,2951
2,Apartment,Narol,Ready to move,936,Ahmedabad,1762
2,Apartment,Narol,Ready to move,900,Ahmedabad,1783
1,Apartment,Narol,Ready to move,675,Ahmedabad,1637
1,Apartment,Narol,Ready to move,765,Ahmedabad,1830
2,Apartment,Narol,Ready to move,945,Ahmedabad,1592
2,Apartment,Maninagar East,Ready to move,900,Ahmedabad,1833
2,Apartment,Narol,Ready to move,945,Ahmedabad,1640
1,Apartment,Narol,Ready to move,630,Ahmedabad,1666
2,Apartment,Narol,Ready to move,1035,Ahmedabad,1932
2,Apartment,Maninagar East,Ready to move,1062,Ahmedabad,1883
2,Apartment,Maninagar East,Ready to move,900,Ahmedabad,1833
1,Apartment,Maninagar East,Ready to move,630,Ahmedabad,1746
2,Apartment,Vrundavan Bihar,Ready to move,1026,Ahmedabad,2583
4,Villa,Near Vaishno Devi Circle On SG Highway,Ready to move,4780,Ahmedabad,9100
3,Apartment,Jodhpur Village,Ready to move,1791,Ahmedabad,6979
3,Apartment,Vastrapur,Under Construction,3373,Ahmedabad,5350
3,Apartment,Vastrapur,Under Construction,3390,Ahmedabad,5350
1,Apartment,Narol,Ready to move,720,Ahmedabad,1679
3,Apartment,Narol,Ready to move,1485,Ahmedabad,1834
2,Apartment,Satellite,Ready to move,1260,Ahmedabad,5555
1,Apartment,Vastral,Ready to move,783,Ahmedabad,2298
2,Apartment,Vastral,Ready to move,1197,Ahmedabad,2464
1,Apartment,Vastral,Ready to move,675,Ahmedabad,2296
1,Apartment,Vastral,Ready to move,675,Ahmedabad,2370
1,Apartment,Narol,Ready to move,549,Ahmedabad,2094
1,Apartment,Narol,Ready to move,630,Ahmedabad,1666
2,Apartment,Narol,Ready to move,945,Ahmedabad,1640
1,Apartment,Ramol Ring Road,Ready to move,810,Ahmedabad,2098
3,Apartment,Bopal,Ready to move,1545,Ahmedabad,4466
3,Villa,Dholera,Ready to move,2802,Ahmedabad,1427
3,Apartment,Bopal,Ready to move,2350,Ahmedabad,4255
3,Apartment,Jodhpur Village,Ready to move,1854,Ahmedabad,5987
3,Apartment,Jodhpur Village,Ready to move,1854,Ahmedabad,5987
3,Apartment,Jodhpur Village,Ready to move,1854,Ahmedabad,5987
2,Apartment,Prahlad Nagar,Ready to move,1242,Ahmedabad,5797
3,Villa,Ghatlodiya,Ready to move,1620,Ahmedabad,5864
3,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,4878
3,Apartment,Prahlad Nagar,Ready to move,2010,Ahmedabad,6467
3,Apartment,Motera,Ready to move,1305,Ahmedabad,3908
2,Apartment,Makarba,Ready to move,1200,Ahmedabad,3666
1,Apartment,Gota,Under Construction,641,Ahmedabad,3234
3,Apartment,Sola,Ready to move,1800,Ahmedabad,4722
5,Apartment,Ambli,Ready to move,4825,Ahmedabad,9948
3,Apartment,Satellite,Ready to move,1719,Ahmedabad,5817
3,Apartment,Motera,Ready to move,1800,Ahmedabad,3611
2,Apartment,Chandkheda,Ready to move,900,Ahmedabad,3888
3,Apartment,Shilaj,Ready to move,856,Ahmedabad,7593
1,Apartment,South Bopal,Ready to move,415,Ahmedabad,3734
3,Apartment,Shilaj,Ready to move,910,Ahmedabad,6043
2,Apartment,South Bopal,Under Construction,720,Ahmedabad,5833
1,Apartment,Sardar Patel Ring Road,Ready to move,390,Ahmedabad,4487
3,Apartment,Ambli,Ready to move,1332,Ahmedabad,10810
3,Apartment,South Bopal,Ready to move,932,Ahmedabad,5472
2,Apartment,Shela,Ready to move,682,Ahmedabad,4545
3,Apartment,Shilaj,Ready to move,1085,Ahmedabad,5622
3,Apartment,Shilaj,Ready to move,1071,Ahmedabad,5602
3,Apartment,Shilaj,Ready to move,1350,Ahmedabad,3703
4,Independent House,Prahlad Nagar,Ready to move,3600,Ahmedabad,15277
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,910,Ahmedabad,5714
3,Apartment,Gandhi Nagar,Ready to move,994,Ahmedabad,5533
3,Apartment,Shilaj,Ready to move,1350,Ahmedabad,3703
4,Independent House,Prahlad Nagar,Ready to move,3600,Ahmedabad,15277
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,910,Ahmedabad,5714
2,Apartment,Sardar Patel Ring Road,Ready to move,899,Ahmedabad,5005
3,Apartment,Sardar Patel Ring Road,Ready to move,1113,Ahmedabad,5570
3,Apartment,Prahlad Nagar,Ready to move,1200,Ahmedabad,8333
3,Apartment,Satellite,Ready to move,1719,Ahmedabad,5817
2,Apartment,Chandkheda,Ready to move,1080,Ahmedabad,3055
3,Apartment,Chandkheda,Ready to move,1432,Ahmedabad,3212
3,Apartment,Shilaj,Under Construction,782,Ahmedabad,8028
2,Apartment,Shela,Ready to move,1140,Ahmedabad,3684
